rent_id,agreement_date,rent_start_date,rent_end_date,terms
1,3/1/2023,3/21/2023,4/9/2025,Lease agreement for Office in TX for 25 months. Condition: Fair.
2,11/21/2024,11/24/2024,2/17/2026,Lease agreement for Apartment in FL for 15 months. Condition: Good.
3,3/19/2023,3/21/2023,1/15/2024,Lease agreement for House in TX for 10 months. Condition: Good.
4,4/9/2021,4/28/2021,12/19/2022,Lease agreement for Apartment in TX for 20 months. Condition: Fair.
5,12/25/2021,12/31/2021,6/29/2022,Lease agreement for Office in CA for 6 months. Condition: Good.
6,8/19/2024,8/21/2024,12/14/2025,Lease agreement for Studio in IL for 16 months. Condition: Good.
7,12/15/2024,1/9/2025,10/31/2026,Lease agreement for House in CA for 22 months. Condition: Fair.
8,12/22/2023,1/7/2024,9/3/2024,Lease agreement for House in TX for 8 months. Condition: Good.
9,9/29/2024,10/3/2024,7/20/2027,Lease agreement for Office in FL for 34 months. Condition: Fair.
10,5/21/2024,6/3/2024,4/19/2027,Lease agreement for Villa in TX for 35 months. Condition: Good.
11,11/11/2024,11/15/2024,2/3/2027,Lease agreement for Apartment in FL for 27 months. Condition: Good.
12,10/29/2024,11/8/2024,12/28/2026,Lease agreement for Villa in CA for 26 months. Condition: Good.
13,9/28/2024,10/8/2024,5/26/2027,Lease agreement for Apartment in IL for 32 months. Condition: Good.
14,8/31/2024,9/9/2024,5/2/2026,Lease agreement for Villa in TX for 20 months. Condition: Good.
15,12/23/2024,1/12/2025,8/30/2027,Lease agreement for Office in IL for 32 months. Condition: Poor.
16,8/25/2022,9/2/2022,1/19/2025,Lease agreement for Office in CA for 29 months. Condition: Good.
17,1/20/2024,2/17/2024,6/6/2026,Lease agreement for Villa in NY for 28 months. Condition: Good.
18,4/22/2024,4/23/2024,2/12/2026,Lease agreement for Apartment in FL for 22 months. Condition: Good.
19,6/11/2024,6/23/2024,3/20/2025,Lease agreement for Villa in CA for 9 months. Condition: Good.
20,4/4/2024,4/5/2024,11/21/2026,Lease agreement for Office in NY for 32 months. Condition: Fair.
21,8/9/2023,8/12/2023,11/29/2025,Lease agreement for Studio in FL for 28 months. Condition: Fair.
22,8/20/2023,9/4/2023,4/1/2024,Lease agreement for Office in IL for 7 months. Condition: Good.
23,2/9/2023,3/5/2023,4/23/2025,Lease agreement for Office in NY for 26 months. Condition: Fair.
24,8/24/2024,8/27/2024,7/18/2026,Lease agreement for Studio in IL for 23 months. Condition: Good.
25,10/20/2024,11/16/2024,7/4/2027,Lease agreement for Apartment in FL for 32 months. Condition: Good.
26,6/14/2022,7/3/2022,12/30/2022,Lease agreement for House in CA for 6 months. Condition: Fair.
27,2/25/2024,3/8/2024,9/4/2024,Lease agreement for Office in TX for 6 months. Condition: Good.
28,11/19/2022,12/7/2022,7/5/2023,Lease agreement for Villa in CA for 7 months. Condition: Good.
29,7/25/2022,8/16/2022,5/13/2023,Lease agreement for Studio in TX for 9 months. Condition: Good.
30,9/3/2023,10/1/2023,1/23/2025,Lease agreement for Apartment in FL for 16 months. Condition: Good.
31,8/24/2022,8/29/2022,10/17/2024,Lease agreement for Office in IL for 26 months. Condition: Good.
32,2/26/2023,3/16/2023,9/12/2023,Lease agreement for Office in CA for 6 months. Condition: Poor.
33,9/24/2023,9/29/2023,10/23/2024,Lease agreement for Apartment in FL for 13 months. Condition: Good.
34,3/8/2023,4/1/2023,5/25/2024,Lease agreement for Apartment in IL for 14 months. Condition: Poor.
35,6/26/2024,6/30/2024,11/17/2026,Lease agreement for Studio in CA for 29 months. Condition: Fair.
36,9/17/2023,10/5/2023,7/1/2024,Lease agreement for Apartment in IL for 9 months. Condition: Fair.
37,5/20/2024,6/3/2024,11/30/2024,Lease agreement for Studio in IL for 6 months. Condition: Good.
38,12/7/2024,12/28/2024,8/20/2026,Lease agreement for House in NY for 20 months. Condition: Fair.
39,8/25/2024,9/19/2024,7/6/2027,Lease agreement for Apartment in CA for 34 months. Condition: Good.
40,6/30/2020,7/18/2020,9/11/2021,Lease agreement for Studio in FL for 14 months. Condition: Good.
41,12/8/2023,1/4/2024,3/24/2026,Lease agreement for House in CA for 27 months. Condition: Good.
42,11/28/2024,12/22/2024,6/20/2025,Lease agreement for Office in CA for 6 months. Condition: Poor.
43,12/5/2024,12/16/2024,3/6/2027,Lease agreement for House in NY for 27 months. Condition: Good.
44,11/7/2023,11/8/2023,9/28/2025,Lease agreement for Studio in FL for 23 months. Condition: Good.
45,4/28/2023,5/17/2023,11/7/2024,Lease agreement for Studio in IL for 18 months. Condition: Fair.
46,12/14/2024,12/17/2024,7/10/2026,Lease agreement for Office in FL for 19 months. Condition: Good.
47,9/7/2021,9/29/2021,5/22/2023,Lease agreement for Villa in CA for 20 months. Condition: Good.
48,5/10/2023,6/8/2023,6/27/2025,Lease agreement for Office in TX for 25 months. Condition: Good.
49,6/16/2023,7/8/2023,10/25/2025,Lease agreement for Apartment in FL for 28 months. Condition: Good.
50,11/7/2021,11/28/2021,4/22/2023,Lease agreement for Studio in CA for 17 months. Condition: Good.
51,9/7/2024,9/28/2024,6/20/2026,Lease agreement for House in TX for 21 months. Condition: Good.
52,2/10/2022,2/28/2022,10/15/2024,Lease agreement for Office in FL for 32 months. Condition: Fair.
53,12/16/2022,12/31/2022,9/27/2023,Lease agreement for Studio in CA for 9 months. Condition: Good.
